#Rank,credits
1,1084
2,525
3,1408
4,567
5,625
6,895
7,112
8,1539
9,1866
10,921
11,329
12,1264
13,1568
14,1004
15,28
16,1442
17,1742
18,57
19,1861
20,1499
21,737
22,998
23,1489
24,1408
25,1725
26,838
27,953
28,1478
29,1586
30,744
31,1099
32,1489
33,532
34,853
35,705
36,1889
37,939
38,697
39,1634
40,83
41,5
42,653
43,1325
44,680
45,1174
46,1110
47,1481
48,977
49,1227
50,1502
51,613
52,1023
53,983
54,1039
55,1935
56,1715
57,1017
58,1998
59,1510
60,1564
61,969
62,773
63,622
64,1717
65,257
66,1026
67,517
68,882
69,1507
70,194
71,1516
72,1503
73,1471
74,1782
75,981
76,134
77,298
78,1365
79,849
80,727
81,1470
82,922
83,7
84,940
85,616
86,647
87,1304
88,341
89,312
90,1833
91,1813
92,1490
93,1651
94,1727
95,1708
96,1139
97,944
98,1073
99,593
100,1056
